"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"DEFB103A",0.00150686133239741,5.88831324805074,0.0348124629691508,0.972314570253468,0.988287670831496,-6.35047933805064,"No"
"B3GNTL1",-0.000917333789834274,7.59333449888369,-0.0348028690149116,0.97232219695289,0.988287670831496,-6.35047966600687,"No"
"RS1",0.00147500864137751,6.08641197756026,0.0347366093981333,0.972374870005445,0.988287670831496,-6.35048192853353,"No"
"MAGI1",-0.00144215069671993,10.146023899996,-0.034717722707736,0.972389883993968,0.988287670831496,-6.35048257265617,"No"
"RWDD3",-0.00150169271912937,7.16950829415725,-0.0347076652620402,0.972397879171941,0.988287670831496,-6.35048291551821,"No"
"MYH13",0.00135832902090094,5.59056089595069,0.0346627454854075,0.97243358823429,0.988287670831496,-6.35048444563733,"No"
"LOC102724194",0.00116439005397329,7.26405289036663,0.0345985481583879,0.97248462211987,0.988288868260134,-6.35048662897524,"No"
"RRS1",0.00141250884825439,8.10210244788067,0.0344066431318285,0.97263717836311,0.988393232516119,-6.3504931314934,"No"
"KDELR1",0.00146218786111518,9.51055332373253,0.0342002353815961,0.972801264785993,0.988509302432476,-6.35050008505321,"No"
"IL20",0.00160298118086999,5.75098787039362,0.0340987776741797,0.972881920289846,0.988540586698734,-6.35050348767019,"No"
"METTL13",-0.00115765810847002,7.94022890748294,-0.0339691564542229,0.972984965260554,0.988572055486614,-6.35050782010773,"No"
"PLAAT2",0.00148149278853005,5.9950580021354,0.0339317805121162,0.973014678095605,0.988572055486614,-6.35050906629005,"No"
"GPR50",0.00128375722063101,5.9934905563013,0.03387162458977,0.973062500461828,0.988572055486614,-6.35051106911771,"No"
"H1-1",0.00194421023162139,7.95953549194362,0.0335218370933908,0.97334057421295,0.988738672049315,-6.35052264451235,"No"
"RABGGTB",0.00181151495682386,8.44390647378371,0.0334469544328428,0.973400104793584,0.988738672049315,-6.35052510696318,"No"
"ZFY",0.00582965872133379,6.56121308267605,0.0334456939955928,0.973401106823394,0.988738672049315,-6.35052514836444,"No"
"ERC2-IT1",-0.0024890319099331,7.7556597581852,-0.0333923585739947,0.973443507769374,0.988738672049315,-6.35052689882925,"No"
"MAP3K3",-0.000915125008530637,8.28280518468329,-0.0333516195641294,0.9734758947882,0.988738672049315,-6.35052823399885,"No"
"NDUFS2",-0.00123525175838068,10.099795010667,-0.0332225934515582,0.973578469276766,0.988792191642245,-6.35053245191135,"No"
"PPP1CB",0.00117389280265989,10.5787656898006,0.0330590217683841,0.973708507793262,0.988845335956062,-6.35053777563094,"No"
"GSN-AS1",-0.00180532277812073,6.36281743155922,-0.0330312787748578,0.973730563379021,0.988845335956062,-6.35053867596783,"No"
"ZKSCAN2",-0.00109889691323861,7.18228366191762,-0.0327113175122732,0.973984932971881,0.98898693787912,-6.35054900496876,"No"
"HACL1",-0.00147825548070024,8.81283723157811,-0.0327037412877046,0.973990956112393,0.98898693787912,-6.35054924832623,"No"
"NPR3",0.00160598551176339,6.10940084037769,0.0326676190385806,0.974019673521367,0.98898693787912,-6.3505504078414,"No"
"ANAPC1P1",-0.00171347736266636,7.08576196603907,-0.0324600673409235,0.974184679054016,0.989067988948866,-6.35055704536556,"No"
"ACE2",0.00132029318197802,6.12057884920447,0.0323387959749362,0.974281091440737,0.989067988948866,-6.35056090405556,"No"
"CSTA",-0.00140070229717093,5.61764120148113,-0.0323332363286557,0.974285511444396,0.989067988948866,-6.3505610806097,"No"
"EXOC1",0.00116812870170158,9.43678476162566,0.0323161720024992,0.974299077849191,0.989067988948866,-6.35056162232109,"No"
"PCSK1N",-0.00151645631605923,10.6537583507823,-0.0321793222491268,0.974407875805905,0.989127781754428,-6.35056595630884,"No"
"OR56B4",-0.00163463844937084,5.83190732852243,-0.0321153186084125,0.974458759990623,0.989128782799637,-6.35056797697132,"No"
"ZNF91",0.00157261699913391,10.5161557867436,0.0316536287551746,0.974825815855439,0.989384275816366,-6.35058243383189,"No"
"MAP3K7CL",-0.00134946453420604,7.16706912944898,-0.0315256399972704,0.9749275713289,0.989384275816366,-6.35058640447577,"No"
"ADGRF1",0.00146211821449338,5.50332452925342,0.0314580939060166,0.974981272966972,0.989384275816366,-6.35058849349856,"No"
"SLC25A4",0.0021237299949064,10.2870961809578,0.0314407602284491,0.974995053899674,0.989384275816366,-6.35058902886114,"No"
"PCBP1",0.000874801781893808,10.0848626674359,0.0314025406707083,0.975025439928063,0.989384275816366,-6.35059020825597,"No"
"EPHA1",-0.00112928974774462,6.93922437038973,-0.0313829454650918,0.975041018889637,0.989384275816366,-6.35059081237662,"No"
"BACE2",-0.00175283166429274,8.17459901486198,-0.0312440931195175,0.975151412260132,0.989384275816366,-6.35059508239465,"No"
"C2orf69",0.00119574478427609,8.42983286306197,0.0312101380935615,0.975178407987139,0.989384275816366,-6.35059612370594,"No"
"NGFR",-0.00123162503546759,7.79780656064417,-0.0311827117755831,0.975200213127618,0.989384275816366,-6.35059696397231,"No"
"RXFP4",0.00111131284427479,7.02291334676399,0.0311709390415349,0.975209572979669,0.989384275816366,-6.35059732442966,"No"
"C1orf162",0.00444828605476744,9.02699014009552,0.0309385317605947,0.975394347911018,0.989521093072677,-6.35060441240601,"No"
"ECHS1",0.00106902427447331,9.28382179540317,0.0308203046038118,0.975488344685919,0.989563558944387,-6.35060799775233,"No"
"EFCAB10",-0.00228482015153553,5.30097546486727,-0.0307117869501312,0.975574622203087,0.989563558944387,-6.35061127656703,"No"
"HIRA",-0.000987753255714097,8.69603400142402,-0.0306330899185075,0.975637190863877,0.989563558944387,-6.35061364712992,"No"
"LPA",-0.00154022144557509,6.31974482558871,-0.0305904113319178,0.975671122855712,0.989563558944387,-6.35061493017833,"No"
"MTHFS",0.00142777015105455,7.63303299324508,0.0305719416269782,0.975685807373659,0.989563558944387,-6.35061548487941,"No"
"GTPBP2",0.000792732470012325,8.74545776712814,0.0304618870880887,0.97577330747545,0.989601671650765,-6.35061878320448,"No"
"HELZ2",-0.00115475899296502,7.77096118299532,-0.0303407590840827,0.975869612003737,0.989607098020736,-6.3506223996503,"No"
"PARP6",-0.00115999140064638,10.3943659684909,-0.0303295771814163,0.975878502351276,0.989607098020736,-6.35062273277517,"No"
"CYB561",-0.00121649473215957,7.71087782480737,-0.030248630563391,0.975942860323689,0.989621736160238,-6.35062514062883,"No"
"FAAP20",0.00088389646771514,7.52774810224553,0.0299286421043203,0.976197274096659,0.98982908257893,-6.350634596071,"No"
"FABP1",-0.00128811114469318,5.40051598450221,-0.0297790576471857,0.976316205315125,0.989853246164246,-6.35063898170024,"No"
